"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"AD_overall_vs_Control",0.0261972922274468,0.3368133655148,Inf,-0.633944773693286,0.68633935814818,0.0777798475645576,0.938003177191069,"Microglia2","Capillaries",0.433333333333333,0.958847692239759
"Disease_effect",-1.10057187201736,0.270621414867843,Inf,-1.6309800986036,-0.570163645431114,-4.06683215574355,4.76565414131181e-05,"Microglia3","Capillaries",0.433333333333333,0.000365366817500572
"Amyloid_effect",1.1267580036687,0.265733385251463,Inf,0.60593013908593,1.64758586825148,4.24018232636617,2.2333830385597e-05,"Microglia3","Capillaries",0.433333333333333,0.000205471239547493
"AD_overall_vs_Control",-0.612310070427587,0.219414317146615,Inf,-1.0423542297274,-0.182265911127772,-2.79065686501412,0.00526012043751242,"Microglia3","Capillaries",0.433333333333333,0.0302456925156964
"Disease_effect",0.365321383287139,0.165367336147793,Inf,0.0412073602181367,0.689435406356142,2.20915080207038,0.0271641535547291,"Microglia4","Capillaries",0.433333333333333,0.069419503528752
"Amyloid_effect",-0.39825806231931,0.162580527595749,Inf,-0.716910040994497,-0.0796060836441221,-2.44960493245271,0.014301303248117,"Microglia4","Capillaries",0.433333333333333,0.028602606496234
"AD_overall_vs_Control",0.192742889615439,0.155420120524574,Inf,-0.111874949085601,0.497360728316478,1.24014116682507,0.214923184701448,"Microglia4","Capillaries",0.433333333333333,0.49432332481333
"Disease_effect",-0.0330547021615828,0.250627509880775,Inf,-0.524275595062859,0.458166190739694,-0.131887765143208,0.895073066090576,"Microglia5","Capillaries",0.433333333333333,0.895392470035217
"Amyloid_effect",-0.29218702739727,0.240454370363185,Inf,-0.763468933234367,0.179094878439828,-1.21514542221024,0.224310632099124,"Microglia5","Capillaries",0.433333333333333,0.268292030702489
"AD_overall_vs_Control",-0.1596690807004,0.23412594880342,Inf,-0.618547508201372,0.299209346800573,-0.681979428236991,0.495251958972938,"Microglia5","Capillaries",0.433333333333333,0.702643520295721
"Disease_effect",-0.948958432207616,0.507235566355213,Inf,-1.94312187394161,0.0452050095263781,-1.87084363785143,0.0613667570952587,"Oligodendrocytes1","Capillaries",0.433333333333333,0.141143541319095
"Amyloid_effect",1.24993071596488,0.361359265036893,Inf,0.541679571012701,1.95818186091705,3.45896960975185,0.00054224608327156,"Oligodendrocytes1","Capillaries",0.433333333333333,0.00226757453004471
"AD_overall_vs_Control",-0.407321788622837,0.456261207251794,Inf,-1.30157732237912,0.486933745133444,-0.892738155575982,0.37199741215265,"Oligodendrocytes1","Capillaries",0.433333333333333,0.68493607227796
"Disease_effect",0.179350492718638,0.15646646102497,Inf,-0.127318135678743,0.48601912111602,1.14625518813272,0.251689578763203,"Oligodendrocytes2","Capillaries",0.433333333333333,0.32160335064187
"Amyloid_effect",-0.256358952268989,0.177424342058573,Inf,-0.604104272684507,0.0913863681465283,-1.44489166083174,0.148488319052149,"Oligodendrocytes2","Capillaries",0.433333333333333,0.200895961070555
"AD_overall_vs_Control",0.0682616134020763,0.15763382788914,Inf,-0.240695012005824,0.377218238809976,0.433039115500532,0.664986353196552,"Oligodendrocytes2","Capillaries",0.433333333333333,0.795900228668911
"Disease_effect",-1.48824761882648,0.35809188286267,Inf,-2.19009481239345,-0.786400425259513,-4.15604957847434,3.23797588265995e-05,"Oligodendrocytes3","Capillaries",0.433333333333333,0.000297893781204716
"Amyloid_effect",1.55591213905675,0.351189577014143,Inf,0.867593216363178,2.24423106175033,4.43040523094481,9.40561751331984e-06,"Oligodendrocytes3","Capillaries",0.433333333333333,0.00014099065655929
"AD_overall_vs_Control",-0.814019025235221,0.302961858667984,Inf,-1.40781335691378,-0.220224693556658,-2.68686965684121,0.00721250917042954,"Oligodendrocytes3","Capillaries",0.433333333333333,0.0368639357599732
"Disease_effect",-1.16318978367636,0.328479798121955,Inf,-1.80699835764438,-0.519381209708342,-3.54113035360702,0.000398416688621241,"Oligodendrocytes4","Capillaries",0.433333333333333,0.00183271676765771
"Amyloid_effect",0.609577503650448,0.333954755997407,Inf,-0.0449617905703317,1.26411679787123,1.82532960738903,0.0679513048483879,"Oligodendrocytes4","Capillaries",0.433333333333333,0.0947200006977529
"AD_overall_vs_Control",-0.8990395320945,0.283292605493837,Inf,-1.45428283594893,-0.343796228240067,-3.17353688257162,0.00150593767006966,"Oligodendrocytes4","Capillaries",0.433333333333333,0.0138546265646409
"Disease_effect",-0.196622923017413,0.359477358301725,Inf,-0.901185598546393,0.507939752511568,-0.54696886598454,0.584400121910985,"Oligodendrocytes5","Capillaries",0.433333333333333,0.672060140197633
"Amyloid_effect",0.639561969419143,0.344710892884302,Inf,-0.0360589657127321,1.31518290455102,1.85535758405466,0.063545180181571,"Oligodendrocytes5","Capillaries",0.433333333333333,0.0923664953038064
"AD_overall_vs_Control",0.0805205970642161,0.322147928755784,Inf,-0.550877740991296,0.711918935119728,0.249949137885837,0.80262668240001,"Oligodendrocytes5","Capillaries",0.433333333333333,0.879067318819059
