"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",-0.0839449938697609,0.0748702541873639,Inf,-0.230687995590353,0.0627980078508315,-1.1212062090732,0.262200097380802,"ExNeuron5","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",0.015461039320851,0.143744282506326,Inf,-0.266272577375098,0.297194656016801,0.107559334195922,0.914345256392922,"ExNeuron6","Capillaries",0.938776500851601
"AD_Amyloid_vs_Control",-0.695534503483509,0.463275910197646,Inf,-1.60353860237591,0.212469595408889,-1.50133967291063,0.133267728651608,"ExNeuron7","Capillaries",0.534432038316526
"AD_Amyloid_vs_Control",-0.0872434705301254,0.100244438825682,Inf,-0.283718960278891,0.109232019218641,-0.870307336268652,0.384132470814638,"ExNeuron8","Capillaries",0.724481459765134
"AD_Amyloid_vs_Control",0.249940962271276,0.293063967984765,Inf,-0.324453860145264,0.824335784687815,0.852854630987146,0.393739923785399,"ExNeuron9","Capillaries",0.724481459765134
"AD_Amyloid_vs_Control",-0.11438831718762,0.0741816726200106,Inf,-0.259781723835782,0.031005089460542,-1.54200239961647,0.123073010477519,"Fibroblast","Capillaries",0.534432038316526
"AD_Amyloid_vs_Control",-1.40737424397545,0.428642528111014,Inf,-2.24749816131523,-0.567250326635662,-3.28332853526599,0.00102589031418088,"InhNeuron1","Capillaries",0.0471909544523205
"AD_Amyloid_vs_Control",-0.167403283612282,0.137463344097379,Inf,-0.436826487237581,0.102019920013016,-1.21780307842427,0.223298814213706,"InhNeuron2","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",-0.0970888152268973,0.085798806655104,Inf,-0.265251386187417,0.071073755733622,-1.13158701166063,0.257808103163732,"InhNeuron3","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",0.161359029559558,0.175609606713845,Inf,-0.182829474938823,0.505547534057938,0.918850811063492,0.358173611320458,"InhNeuron4","Capillaries",0.724481459765134
"AD_Amyloid_vs_Control",-0.197913009212973,0.110496821135287,Inf,-0.414482799044299,0.0186567806183529,-1.79111948361536,0.0732741232016042,"InhNeuron5","Capillaries",0.481515666753399
"AD_Amyloid_vs_Control",-0.364211574404838,0.137140426864628,Inf,-0.633001871883958,-0.0954212769257183,-2.65575645877458,0.00791307390174932,"Microglia1","Capillaries",0.0910003498701171
"AD_Amyloid_vs_Control",0.164905504271471,0.395032746214197,Inf,-0.609344451022306,0.939155459565247,0.41744768212723,0.676350984287814,"Microglia2","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",0.0310267515600704,0.108484863334697,Inf,-0.181599673443686,0.243653176563826,0.286000743388014,0.774877552185275,"Microglia3","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.0361628394709055,0.0890206994257281,Inf,-0.210640204223898,0.138314525282087,-0.406229559014833,0.684573937153876,"Microglia4","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.0671428046252732,0.0590000125800028,Inf,-0.182780704369489,0.0484950951189423,-1.13801339506884,0.255114889056364,"Microglia5","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",-0.839649919259981,0.519938976581311,Inf,-1.85871158751796,0.179411748998003,-1.61490089621829,0.106332158156271,"Oligodendrocytes1","Capillaries",0.534432038316526
"AD_Amyloid_vs_Control",0.0304504644194939,0.0844226106165829,Inf,-0.135014811869857,0.195915740708845,0.360690864652232,0.718330554606588,"Oligodendrocytes2","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.0346046172350443,0.450535603717172,Inf,-0.917638174273711,0.848428939803622,-0.0768077305090581,0.938776500851601,"Oligodendrocytes3","Capillaries",0.938776500851601
"AD_Amyloid_vs_Control",-0.779385632880539,0.322407416955245,Inf,-1.41129255846141,-0.14747870729967,-2.41739362028613,0.0156321025585386,"Oligodendrocytes4","Capillaries",0.143815343538555
"AD_Amyloid_vs_Control",0.203225246036104,0.434552567286514,Inf,-0.648482135234881,1.05493262730709,0.467665505476376,0.640023812524487,"Oligodendrocytes5","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.0377100163999598,0.112864351456292,Inf,-0.258920080392764,0.183500047592844,-0.334118044478937,0.7382904842283,"Oligodendrocytes6","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.119250321382759,0.0983587711481074,Inf,-0.312029970396667,0.0735293276311486,-1.21240149699709,0.225358728162276,"Oligodendrocytes7","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",0.820870216178488,0.381458743592688,Inf,0.0732248171489199,1.56851561520806,2.15192397596473,0.0314033425471083,"Oligodendrocytes8","Capillaries",0.24075895952783
"AD_Amyloid_vs_Control",-0.0967204187406614,0.0626455897937574,Inf,-0.219503518526696,0.0260626810453732,-1.54393021215197,0.122605240072282,"OPC1","Capillaries",0.534432038316526
"AD_Amyloid_vs_Control",-0.0707474498803317,0.10290776754005,Inf,-0.27244296798825,0.130948068227587,-0.687484060450516,0.491777741888048,"OPC2","Capillaries",0.807920575958936
"AD_Amyloid_vs_Control",-0.905831530447577,0.340541148738843,Inf,-1.57327991722961,-0.238383143665548,-2.65997672763549,0.00781460509156326,"OPC3","Capillaries",0.0910003498701171
