"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"OPC2","Capillaries","AD_overall_vs_Control","Overall",0.292278640072747,NA,0.122261071749392,0.0975103482917942,0.299031734761502,0.20259211530432
"OPC3","Capillaries","AD_overall_vs_Control","Overall",-1.51368776163587,NA,0.277722721065028,0.000158156959059287,0.0018188050291818,-1.049208404226
"Pericytes","Capillaries","AD_overall_vs_Control","Overall",-0.882840478194357,NA,0.304460619977424,0.0444407347752115,0.157251830743056,-0.611938388344613
"SMC","Capillaries","AD_overall_vs_Control","Overall",-1.30633034653859,NA,0.314227076933514,0.00395651866062362,0.0259999797698124,-0.905479196583118
"VLMC1","Capillaries","AD_overall_vs_Control","Overall",-0.795801727254308,NA,0.21685594896314,0.0109697919366048,0.0458736753712563,-0.551607723531058
"VLMC2","Capillaries","AD_overall_vs_Control","Overall",-1.4140155325062,NA,0.241534210394729,4.95166562756175e-05,0.000923103370773786,-0.980120879624645
"Astrocytes1","Parenchyma","AD_overall_vs_Control","Overall",0.219883082381582,NA,0.225939951419665,0.499951739205372,0.657079428669917,0.152411338605623
"Astrocytes2","Parenchyma","AD_overall_vs_Control","Overall",-0.5225390369242,NA,0.217401301403258,0.0957080164784292,0.24270219913637,-0.362196460176519
"Astrocytes3","Parenchyma","AD_overall_vs_Control","Overall",0.152220183641852,NA,0.202339217243431,0.602049176004654,0.728796370953002,0.105510991115667
"Astrocytes4","Parenchyma","AD_overall_vs_Control","Overall",-0.440606589395092,NA,0.211458522008502,0.148660360922888,0.297320721845776,-0.305405215175342
"Astrocytes5","Parenchyma","AD_overall_vs_Control","Overall",-0.0771698559700616,NA,0.210191773209057,0.799123042051096,0.885647674858422,-0.0534900680898652
"Endothelial","Parenchyma","AD_overall_vs_Control","Overall",-0.514551154656286,NA,0.216991223998039,0.100246560512849,0.24270219913637,-0.356659682103869
"ExNeuron1","Parenchyma","AD_overall_vs_Control","Overall",0.0674714189794415,NA,0.19310497931017,0.808634833566386,0.885647674858422,0.0467676238339787
"ExNeuron10","Parenchyma","AD_overall_vs_Control","Overall",-0.8080552150902,NA,0.24527168110757,0.0223953416426835,0.0761956192622175,-0.560101194076533
"ExNeuron11","Parenchyma","AD_overall_vs_Control","Overall",-0.529477628237551,NA,0.2203137695138,0.0957467016387062,0.24270219913637,-0.367005925182426
"ExNeuron12","Parenchyma","AD_overall_vs_Control","Overall",-0.622733596826454,NA,0.282219683485458,0.12614841169777,0.275881069994199,-0.43164603688021
"ExNeuron13","Parenchyma","AD_overall_vs_Control","Overall",-0.284983243523416,NA,0.213570525465652,0.355008298585125,0.510324429216117,-0.197535331755084
"ExNeuron14","Parenchyma","AD_overall_vs_Control","Overall",0.141122879858419,NA,0.279581925446366,0.7264319725804,0.83539676846746,0.0978189262863632
"ExNeuron2","Parenchyma","AD_overall_vs_Control","Overall",0.0287146948917771,NA,0.177774487614376,0.910855665850202,0.931096902869095,0.0199035098048744
"ExNeuron3","Parenchyma","AD_overall_vs_Control","Overall",-0.32583067643237,NA,0.19829351075599,0.254719338203502,0.409273957415268,-0.225848614709037
"ExNeuron4","Parenchyma","AD_overall_vs_Control","Overall",-0.0188461268633957,NA,0.259394877935114,0.959835469368892,0.959835469368892,-0.0130631396998378
"ExNeuron5","Parenchyma","AD_overall_vs_Control","Overall",0.337274123776538,NA,0.140020125859879,0.0949942803576634,0.24270219913637,0.233780607971533
"ExNeuron6","Parenchyma","AD_overall_vs_Control","Overall",-0.858590630894251,NA,0.260816420011743,0.0225014298301837,0.0761956192622175,-0.595129675059535
"ExNeuron7","Parenchyma","AD_overall_vs_Control","Overall",-0.544200148958377,NA,0.337248883086042,0.263356135152402,0.409273957415268,-0.377210798910801
