"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",2.36761165581832,0.681725014931456,Inf,1.34653400437546,4.16297318489683,1,2.99329074104432,0.00275986697105308,"Astrocytes1","Parenchyma",0.00437772002304971
"Disease_effect",1.91439904314402,0.560166754351699,Inf,1.07885940655922,3.39703549332641,1,2.2193711477383,0.0264614848739005,"Astrocytes2","Parenchyma",0.0312109821589595
"Disease_effect",2.70941513373236,0.647911324496792,Inf,1.69560596747952,4.32938460213731,1,4.16810574792122,3.07141444356459e-05,"Astrocytes3","Parenchyma",8.87983462850753e-05
"Disease_effect",1.8917594400479,0.472527466133636,Inf,1.15944748159692,3.08660274468085,1,2.55225478070777,0.0107028220937096,"Astrocytes4","Parenchyma",0.0144802887150188
"Disease_effect",2.33601615043045,0.714111353414403,Inf,1.28311839134363,4.2528978556356,1,2.77545768659544,0.00551240718519708,"Astrocytes5","Parenchyma",0.00792408532872081
"Disease_effect",1.83945363286519,0.346821217299091,Inf,1.27115464089414,2.6618237928006,1,3.23247008541391,0.00122724984588633,"Endothelial","Parenchyma",0.00217128818887581
"Disease_effect",1.90337342561442,0.5180819010775,Inf,1.11643707749071,3.2449929067904,1,2.36461464123831,0.0180488403067186,"ExNeuron1","Parenchyma",0.0230624070585848
"Disease_effect",2.34664820163583,0.484689660410738,Inf,1.56543891736292,3.51770849770183,1,4.12978231199448,3.63106880150744e-05,"ExNeuron10","Parenchyma",9.82524499231426e-05
"Disease_effect",2.07693275459201,0.315297948554311,Inf,1.54241779229457,2.79668043810619,1,4.81453777630484,1.47540992852692e-06,"ExNeuron11","Parenchyma",8.4836070890298e-06
"Disease_effect",1.86598674748427,0.42978658637297,Inf,1.18810303408471,2.93064359057825,1,2.70828339152876,0.00676322444441201,"ExNeuron12","Parenchyma",0.00942752498311977
"Disease_effect",2.28124639674696,0.451516792542148,Inf,1.54773897876023,3.36237905363058,1,4.16683062068944,3.08863813165479e-05,"ExNeuron13","Parenchyma",8.87983462850753e-05
"Disease_effect",2.07286410264517,0.491099316835239,Inf,1.3028837226264,3.29788876276188,1,3.07672078194863,0.00209291246467194,"ExNeuron14","Parenchyma",0.00356570271758923
"Disease_effect",2.26054513447614,0.469834731229654,Inf,1.5041748148849,3.39725426488727,1,3.92417596903498,8.70271079203525e-05,"ExNeuron2","Parenchyma",0.000200162348216811
"Disease_effect",1.40836447738537,0.419418271972045,Inf,0.785638598774636,2.52468565604418,1,1.14984251520889,0.250208740808556,"ExNeuron3","Parenchyma",0.255768935048746
"Disease_effect",1.40692604193524,0.41269603585693,Inf,0.791747782418619,2.50009021992938,1,1.16389462527639,0.244466718000252,"ExNeuron4","Parenchyma",0.255578841545718
"Disease_effect",2.31395885377126,0.390891346415882,Inf,1.66174454050762,3.22215927082916,1,4.96638921313811,6.82109906123856e-07,"ExNeuron5","Parenchyma",6.27541113633948e-06
