"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Arteries","Microglia5","SMC",0.354375723462569,0.645624276537431,0.937196530457561,4
"Arteries","Microglia5","VLMC1",0.854779700713847,0.145220299286153,0.8341377380663,4
"Arteries","Microglia5","VLMC2",-0.0970299481435385,0.902970051856461,0.977266292094293,4
"Arteries","Oligodendrocytes1","Oligodendrocytes2",-0.562507995712768,0.437492004287232,0.903421216954479,4
"Arteries","Oligodendrocytes1","Oligodendrocytes3",-0.025946085609162,0.974053914390838,0.993629604746381,4
"Arteries","Oligodendrocytes1","Oligodendrocytes4",-0.0855007962084279,0.914499203791572,0.983894673517959,4
"Arteries","Oligodendrocytes1","Oligodendrocytes5",0.0395007985941653,0.960499201405835,0.993629604746381,4
"Arteries","Oligodendrocytes1","Oligodendrocytes6",0.0308077651709393,0.969192234829061,0.993629604746381,4
"Arteries","Oligodendrocytes1","Oligodendrocytes7",0.764117445363819,0.235882554636181,0.869181334725044,4
"Arteries","Oligodendrocytes1","Oligodendrocytes8",-0.0186135056244115,0.981386494375589,0.993899035653216,4
"Arteries","Oligodendrocytes1","OPC1",0.814654565385438,0.185345434614562,0.869181334725044,4
"Arteries","Oligodendrocytes1","OPC2",0.230062292414276,0.769937707585724,0.97510263871957,4
"Arteries","Oligodendrocytes1","OPC3",0.220556574488104,0.779443425511896,0.97510263871957,4
"Arteries","Oligodendrocytes1","Pericytes",-0.949301108346931,0.0506988916530686,0.797938550700514,4
"Arteries","Oligodendrocytes1","SMC",-0.834811072952932,0.165188927047068,0.869181334725044,4
"Arteries","Oligodendrocytes1","VLMC1",-0.358228899621574,0.641771100378426,0.935872950329636,4
"Arteries","Oligodendrocytes1","VLMC2",-0.0817718051204246,0.918228194879575,0.985056639637771,4
"Arteries","Oligodendrocytes2","Oligodendrocytes3",0.149847764692134,0.850152235307866,0.97510263871957,4
"Arteries","Oligodendrocytes2","Oligodendrocytes4",-0.217788189658908,0.782211810341092,0.97510263871957,4
"Arteries","Oligodendrocytes2","Oligodendrocytes5",-0.284268044647778,0.715731955352222,0.954820189495818,4
"Arteries","Oligodendrocytes2","Oligodendrocytes6",0.0657388119085988,0.934261188091401,0.990738042699385,4
"Arteries","Oligodendrocytes2","Oligodendrocytes7",-0.231507282276067,0.768492717723933,0.974742601524841,4
"Arteries","Oligodendrocytes2","Oligodendrocytes8",0.741976170289835,0.258023829710165,0.869181334725044,4
"Arteries","Oligodendrocytes2","OPC1",-0.889730447020008,0.110269552979992,0.797938550700514,4
"Arteries","Oligodendrocytes2","OPC2",-0.380674965494352,0.619325034505648,0.935807731304621,4
"Arteries","Oligodendrocytes2","OPC3",-0.866473203883208,0.133526796116792,0.818866133231049,4
"Arteries","Oligodendrocytes2","Pericytes",0.792160869929814,0.207839130070185,0.869181334725044,4
"Arteries","Oligodendrocytes2","SMC",0.136776942632664,0.863223057367336,0.976432638661412,4
"Arteries","Oligodendrocytes2","VLMC1",-0.0904053868063574,0.909594613193643,0.982703992333424,4
"Arteries","Oligodendrocytes2","VLMC2",0.820464401990947,0.179535598009053,0.869181334725044,4
"Arteries","Oligodendrocytes3","Oligodendrocytes4",0.879598832136798,0.120401167863202,0.797938550700514,4
"Arteries","Oligodendrocytes3","Oligodendrocytes5",0.881658288687382,0.118341711312618,0.797938550700514,4
"Arteries","Oligodendrocytes3","Oligodendrocytes6",0.996363393990381,0.00363660600961925,0.470485902494491,4
"Arteries","Oligodendrocytes3","Oligodendrocytes7",0.609966131108272,0.390033868891728,0.891037965234946,4
"Arteries","Oligodendrocytes3","Oligodendrocytes8",0.604474968009976,0.395525031990024,0.891037965234946,4
"Arteries","Oligodendrocytes3","OPC1",0.142951512172559,0.857048487827441,0.97510263871957,4
"Arteries","Oligodendrocytes3","OPC2",0.856054768444215,0.143945231555785,0.8341377380663,4
"Arteries","Oligodendrocytes3","OPC3",0.222993747756645,0.777006252243355,0.97510263871957,4
"Arteries","Oligodendrocytes3","Pericytes",0.111583654394932,0.888416345605068,0.977266292094293,4
"Arteries","Oligodendrocytes3","SMC",0.326199542006019,0.673800457993981,0.943285217840152,4
"Arteries","Oligodendrocytes3","VLMC1",0.80390050698453,0.19609949301547,0.869181334725044,4
"Arteries","Oligodendrocytes3","VLMC2",0.491067610313901,0.508932389686099,0.908957828039735,4
"Arteries","Oligodendrocytes4","Oligodendrocytes5",0.992165930313867,0.00783406968613296,0.584698673425996,4
"Arteries","Oligodendrocytes4","Oligodendrocytes6",0.902847463703488,0.0971525362965116,0.797938550700514,4
"Arteries","Oligodendrocytes4","Oligodendrocytes7",0.422231646828352,0.577768353171648,0.917162953270944,4
"Arteries","Oligodendrocytes4","Oligodendrocytes8",0.156220796997235,0.843779203002765,0.97510263871957,4
"Arteries","Oligodendrocytes4","OPC1",0.336711980128555,0.663288019871445,0.943142625469659,4
"Arteries","Oligodendrocytes4","OPC2",0.949882415789195,0.0501175842108047,0.797938550700514,4
"Arteries","Oligodendrocytes4","OPC3",0.629069061723024,0.370930938276976,0.891037965234946,4
"Arteries","Oligodendrocytes4","Pericytes",0.0150504068281852,0.984949593171815,0.993899035653216,4
"Arteries","Oligodendrocytes4","SMC",0.554998655367498,0.445001344632502,0.903421216954479,4
"Arteries","Oligodendrocytes4","VLMC1",0.959216370515022,0.0407836294849784,0.767473754853684,4
"Arteries","Oligodendrocytes4","VLMC2",0.0267734406557245,0.973226559344275,0.993629604746381,4
"Arteries","Oligodendrocytes5","Oligodendrocytes6",0.911746645910095,0.0882533540899051,0.797938550700514,4
"Arteries","Oligodendrocytes5","Oligodendrocytes7",0.521619195473421,0.478380804526579,0.90810940311922,4
"Arteries","Oligodendrocytes5","Oligodendrocytes8",0.160143194783619,0.839856805216381,0.97510263871957,4
"Arteries","Oligodendrocytes5","OPC1",0.437290266290756,0.562709733709244,0.912639587855679,4
"Arteries","Oligodendrocytes5","OPC2",0.981490981360209,0.0185090186397908,0.676980747595167,4
"Arteries","Oligodendrocytes5","OPC3",0.654229406106767,0.345770593893233,0.878746225416399,4
"Arteries","Oligodendrocytes5","Pericytes",-0.101997942319674,0.898002057680326,0.977266292094293,4
"Arteries","Oligodendrocytes5","SMC",0.45050959626362,0.54949040373638,0.912639587855679,4
"Arteries","Oligodendrocytes5","VLMC1",0.916782164189965,0.0832178358100354,0.797938550700514,4
"Arteries","Oligodendrocytes5","VLMC2",0.0224647011938775,0.977535298806123,0.993629604746381,4
"Arteries","Oligodendrocytes6","Oligodendrocytes7",0.64314899055173,0.35685100944827,0.883590418131482,4
"Arteries","Oligodendrocytes6","Oligodendrocytes8",0.551429600525959,0.448570399474041,0.903421216954479,4
"Arteries","Oligodendrocytes6","OPC1",0.22421857233093,0.77578142766907,0.97510263871957,4
"Arteries","Oligodendrocytes6","OPC2",0.895943606183615,0.104056393816385,0.797938550700514,4
"Arteries","Oligodendrocytes6","OPC3",0.295338027032577,0.704661972967423,0.954584785454361,4
"Arteries","Oligodendrocytes6","Pericytes",0.0382995164147038,0.961700483585296,0.993629604746381,4
"Arteries","Oligodendrocytes6","SMC",0.307335423527989,0.692664576472011,0.950171621084159,4
"Arteries","Oligodendrocytes6","VLMC1",0.813006434140211,0.186993565859788,0.869181334725044,4
"Arteries","Oligodendrocytes6","VLMC2",0.430121424784887,0.569878575215113,0.912639587855679,4
"Arteries","Oligodendrocytes7","Oligodendrocytes8",0.476861122966246,0.523138877033754,0.912639587855679,4
"Arteries","Oligodendrocytes7","OPC1",0.648790320735219,0.351209679264781,0.882286451551087,4
"Arteries","Oligodendrocytes7","OPC2",0.656519227521978,0.343480772478022,0.877784196332724,4
"Arteries","Oligodendrocytes7","OPC3",0.18122458607342,0.81877541392658,0.97510263871957,4
