"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Arteries - Parenchyma","Disease_effect",-0.398705175573841,0.292514963439417,Inf,-1.08427266735698,0.286862316209293,-1.36302488900339,0.360468236033415,"ExNeuron1",0.978241753315122
"Capillaries - Parenchyma","Disease_effect",-0.321385093974215,0.334064569684207,Inf,-1.10433242234037,0.461562234391938,-0.962044835458073,0.600925069683821,"ExNeuron1",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-0.130716502559178,0.323447744265126,Inf,-0.888781170948976,0.62734816583062,-0.404134840563399,0.91391769791288,"ExNeuron1",0.999942844910086
"Arteries - Parenchyma","Amyloid_effect",-0.0509779312881065,0.265860476582615,Inf,-0.674075286554725,0.572119423978512,-0.191746934118902,0.979934964052003,"ExNeuron1",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",0.0797385712710714,0.305697410115197,Inf,-0.636724628536077,0.79620177107822,0.260841500884889,0.963188556359498,"ExNeuron1",0.999942844910086
"Arteries - Capillaries","Disease_effect",-1.04198265963823,0.410935834248824,Inf,-2.00509321595726,-0.0788721033192085,-2.53563348045064,0.030180749539206,"ExNeuron10",0.189315610745929
"Arteries - Parenchyma","Disease_effect",-0.872355699554809,0.37470422227209,Inf,-1.75055020558332,0.0058388064737025,-2.32811814680154,0.0520045345547453,"ExNeuron10",0.252801010541013
"Capillaries - Parenchyma","Disease_effect",0.169626960083425,0.404603531892364,Inf,-0.778642575479991,1.11789649564684,0.419242410687979,0.907675842980892,"ExNeuron10",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",0.60407300954002,0.400248445660728,Inf,-0.333989507861946,1.54213552694199,1.50924511035344,0.286517221826048,"ExNeuron10",0.71889775658172
"Arteries - Parenchyma","Amyloid_effect",0.526039916407463,0.337116395017924,Inf,-0.264059976787497,1.31613980960242,1.56041036325004,0.262967605283317,"ExNeuron10",0.684708104322599
"Capillaries - Parenchyma","Amyloid_effect",-0.0780330931325565,0.377636792571151,Inf,-0.963100665895043,0.80703447962993,-0.206635303200374,0.976736271938066,"ExNeuron10",0.999942844910086
"Arteries - Capillaries","Disease_effect",-0.919483699948467,0.355522567490339,Inf,-1.75272215038805,-0.0862452495088813,-2.58628785913416,0.0262489018028491,"ExNeuron11",0.181112300600549
"Arteries - Parenchyma","Disease_effect",-0.356097741606951,0.325140531378572,Inf,-1.11812979614972,0.405934312935823,-1.09521178456934,0.517026257551352,"ExNeuron11",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.563385958341516,0.357548307639973,Inf,-0.274600220477703,1.40137213716074,1.57569186122063,0.256177490110172,"ExNeuron11",0.817456241079857
"Arteries - Capillaries","Amyloid_effect",0.88523067579373,0.342645118536685,Inf,0.0821731100375018,1.68828824154996,2.58352046448008,0.0264516378128259,"ExNeuron11",0.182516300908499
"Arteries - Parenchyma","Amyloid_effect",0.404879784929638,0.289231444176889,Inf,-0.272992120827522,1.0827516906868,1.39984705356593,0.34095502435623,"ExNeuron11",0.797488023070503
"Capillaries - Parenchyma","Amyloid_effect",-0.480350890864092,0.329885373634582,Inf,-1.25350343499178,0.292801653263594,-1.45611454540019,0.312276047771559,"ExNeuron11",0.743001630904745
"Arteries - Capillaries","Disease_effect",0.437780732149134,0.486339016516095,Inf,-0.702052306779386,1.57761377107765,0.900155482661438,0.64020076213267,"ExNeuron12",0.999957860652559
"Arteries - Parenchyma","Disease_effect",0.172336057661739,0.43163810046197,Inf,-0.839294412151945,1.18396652747542,0.39926053209226,0.915891635173391,"ExNeuron12",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",-0.265444674487396,0.488531468855984,Inf,-1.41041616525386,0.879526816279071,-0.54335225345667,0.849872817416972,"ExNeuron12",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-0.615758335262066,0.452365011848686,Inf,-1.67596647947819,0.444449808954058,-1.36119796875015,0.361451189253213,"ExNeuron12",0.83133773528239
"Arteries - Parenchyma","Amyloid_effect",0.605713033241206,0.385517714526877,Inf,-0.297825060942126,1.50925112742454,1.57116783591789,0.258175927702117,"ExNeuron12",0.684708104322599
"Capillaries - Parenchyma","Amyloid_effect",1.22147136850327,0.451363857001008,Inf,0.163609631492232,2.27933310551431,2.70617894977033,0.0186667664708643,"ExNeuron12",0.182516300908499
"Arteries - Capillaries","Disease_effect",-0.252215354026877,0.462188273194425,Inf,-1.33544628163413,0.831015573580372,-0.54569829797646,0.848677998996714,"ExNeuron13",0.999957860652559
"Arteries - Parenchyma","Disease_effect",-0.211307307489743,0.40194107060291,Inf,-1.1533368309638,0.730722215984314,-0.525717133540951,0.858741991604653,"ExNeuron13",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.040908046537134,0.443234382054689,Inf,-0.997900635262883,1.07971672833715,0.0922943891389872,0.995314735076531,"ExNeuron13",0.999957860652559
