ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,celltype,abs_abundance
2509_E_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_E 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,1.4997065
2509_E_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_E 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,1.9113246
2509_E_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_E 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,3.7420287
2509_F_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.392684
2509_F_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.98023367
2509_F_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,1.7534399
2509_F_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,1.3621807
2509_F_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.5002681
2509_F_006,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 006,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,1.9443743
2509_F_007,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 007,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.49202147
2613_B_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.018623738
2613_B_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.018568197
2613_B_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.0064714863
2613_B_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.020454895
2613_B_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.011565969
2613_B_006,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.037578743
2613_C_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.09336518
