Scan Name,ROI,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,ROI_ID,Scan_ID,disease_status,pathology,region,AnnData_ROI,celltype,rel_abundance
BRC 2613 BRC 2509,151,Full ROI,,,HW0110125,2613_B 005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,151,Oligodendrocytes4,0.022979546
BRC 2613 BRC 2509,152,Full ROI,,,HW0110125,2613_B 006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,152,Oligodendrocytes4,0.018848194
BRC 2613 BRC 2509,153,Full ROI,,,HW0110125,2613_C,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,153,Oligodendrocytes4,0.029394466
BRC 2613 BRC 2509,154,Full ROI,,,HW0110125,2613_C 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,154,Oligodendrocytes4,0.02549575
BRC 2613 BRC 2509,155,Full ROI,,,HW0110125,2613_C 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,155,Oligodendrocytes4,0.033527
BRC 2613 BRC 2509,156,Full ROI,,,HW0110125,2613_C 004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,156,Oligodendrocytes4,0.033711795
BRC 2613 BRC 2509,157,Full ROI,,,HW0110125,2613_C 005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,157,Oligodendrocytes4,0.02710049
BRC 2613 BRC 2509,158,Full ROI,,,HW0110125,2613_C 006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,158,Oligodendrocytes4,0.021734864
BRC 2613 BRC 2509,159,Full ROI,,,HW0110125,2613_C 007,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,159,Oligodendrocytes4,0.023480201
BRC 2613 BRC 2509,160,Full ROI,,,HW0110125,2613_D,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,160,Oligodendrocytes4,0.023634879
BRC 2613 BRC 2509,161,Full ROI,,,HW0110125,2613_D 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,161,Oligodendrocytes4,0.022808481
BRC 2613 BRC 2509,162,Full ROI,,,HW0110125,2613_D 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,162,Oligodendrocytes4,0.03587539
BRC 2613 BRC 2509,163,Full ROI,,,HW0110125,2613_D 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,163,Oligodendrocytes4,0.04704338
BRC 2613 BRC 2509,164,Full ROI,,,HW0110125,2613_D 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,164,Oligodendrocytes4,0.030795207
BRC 2613 BRC 2509,165,Full ROI,,,HW0110125,2613_F,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,165,Oligodendrocytes4,0.033647686
BRC 2613 BRC 2509,166,Full ROI,,,HW0110125,2613_F 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,166,Oligodendrocytes4,0.025227172
BRC 2613 BRC 2509,167,Full ROI,,,HW0110125,2613_F 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,167,Oligodendrocytes4,0.033158395
BRC 2495 BRC 2052,184,Full ROI,,,HW0110125,2495_A,BRC 2495 BRC 2052,AD-CAA,Amyloid,Arteries,184,Oligodendrocytes4,0.023004979
BRC 2495 BRC 2052,185,Full ROI,,,HW0110125,2495_B,BRC 2495 BRC 2052,AD-CAA,Amyloid,Capillaries,185,Oligodendrocytes4,0.023692982
BRC 2495 BRC 2052,186,Full ROI,,,HW0110125,2495_C,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,186,Oligodendrocytes4,0.0002384717
BRC 2495 BRC 2052,187,Full ROI,,,HW0110125,2495_C 002,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,187,Oligodendrocytes4,0.0283691
BRC 2495 BRC 2052,188,Full ROI,,,HW0110125,2495_C 003,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,188,Oligodendrocytes4,0.1769876
BRC 2495 BRC 2052,189,Full ROI,,,HW0110125,2495_F,BRC 2495 BRC 2052,AD-CAA,AmyloidFree,Parenchyma,189,Oligodendrocytes4,0.024155825
BRC 2534 BRC 2732,0,Full ROI,,,HW0110125,2534_A,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0,Oligodendrocytes1,0.018792404
BRC 2534 BRC 2732,1,Full ROI,,,HW0110125,2534_A 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,1,Oligodendrocytes1,0.017493436
BRC 2534 BRC 2732,2,Full ROI,,,HW0110125,2534_A 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,2,Oligodendrocytes1,0.021662924
BRC 2534 BRC 2732,3,Full ROI,,,HW0110125,2534_A 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,3,Oligodendrocytes1,0.016339576
