ROI,Scan_ID,disease_status,pathology,region,celltype,rel_abundance
26,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.038110256
27,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes1,0.0044846297
28,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes1,0.048161887
29,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes1,0.06760914
30,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes1,0.07489416
31,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes1,0.058322642
32,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes1,0.048496936
33,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes1,-0.05338279
34,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes1,0.04061484
35,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes1,0.0704816
36,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes1,0.018361963
37,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes1,0.03910926
67,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.0026325106
68,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.0063124187
69,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.010846225
70,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.010954868
71,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,-0.009716887
72,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.0025204835
73,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,-0.013905784
74,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.004898754
75,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.013717924
76,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.016039852
77,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.0127577465
78,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.020209687
79,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Oligodendrocytes1,0.010215851
